pair,name,state,pre_rating,post_rating,total_pts,op_avg_rating
1,GARY HUA,ON,1794,1817,6,1605.2857142857142
2,DAKSHESH DARURI,MI,1553,1663,6,1469.2857142857142
3,ADITYA BAJAJ,MI,1384,1640,6,1563.5714285714287
4,PATRICK H SCHILLING,MI,1716,1744,5.5,1573.5714285714287
5,HANSHI ZUO,MI,1655,1690,5.5,1500.857142857143
6,HANSEN SONG,OH,1686,1687,5,1518.7142857142858
7,GARY DEE SWATHELL,MI,1649,1673,5,1372.142857142857
8,EZEKIEL HOUGHTON,MI,1641,1657,5,1468.4285714285713
9,STEFANO LEE,ON,1411,1564,5,1523.142857142857
10,ANVIT RAO,MI,1365,1544,5,1554.142857142857
11,CAMERON WILLIAM MC LEMAN,MI,1712,1696,4.5,1467.5714285714287
12,KENNETH J TACK,MI,1663,1670,4.5,1506.1666666666667
13,TORRANCE HENRY JR,MI,1666,1662,4.5,1497.857142857143
14,BRADLEY SHAW,MI,1610,1618,4.5,1515
15,ZACHARY JAMES HOUGHTON,MI,1220,1416,4.5,1483.857142857143
16,MIKE NIKITIN,MI,1604,1613,4,1385.8
17,RONALD GRZEGORCZYK,MI,1629,1610,4,1498.5714285714287
18,DAVID SUNDEEN,MI,1600,1600,4,1480
19,DIPANKAR ROY,MI,1564,1570,4,1426.2857142857142
20,JASON ZHENG,MI,1595,1569,4,1410.857142857143
21,DINH DANG BUI,ON,1563,1562,4,1470.4285714285713
22,EUGENE L MCCLURE,MI,1555,1529,4,1300.3333333333333
23,ALAN BUI,ON,1363,1371,4,1213.857142857143
24,MICHAEL R ALDRICH,MI,1229,1300,4,1357
25,LOREN SCHWIEBERT,MI,1745,1681,3.5,1363.2857142857142
26,MAX ZHU,ON,1579,1564,3.5,1506.857142857143
27,GAURAV GIDWANI,MI,1552,1539,3.5,1221.6666666666667
28,SOFIA ADINA STANESCU-BELLU,MI,1507,1513,3.5,1522.142857142857
29,CHIEDOZIE OKORIE,MI,1602,1508,3.5,1313.5
30,GEORGE AVERY JONES,ON,1522,1444,3.5,1144.142857142857
31,RISHI SHETTY,MI,1494,1444,3.5,1259.857142857143
32,JOSHUA PHILIP MATHEWS,ON,1441,1433,3.5,1378.7142857142858
33,JADE GE,MI,1449,1421,3.5,1276.857142857143
34,MICHAEL JEFFERY THOMAS,MI,1399,1400,3.5,1375.2857142857142
35,JOSHUA DAVID LEE,MI,1438,1392,3.5,1149.7142857142858
36,SIDDHARTH JHA,MI,1355,1367,3.5,1388.1666666666667
37,AMIYATOSH PWNANANDAM,MI,980,1077,3.5,1384.8
38,BRIAN LIU,MI,1423,1439,3,1539.1666666666667
39,JOEL R HENDON,MI,1436,1413,3,1429.5714285714287
40,FOREST ZHANG,MI,1348,1346,3,1390.5714285714287
41,KYLE WILLIAM MURPHY,MI,1403,1341,3,1248.5
42,JARED GE,MI,1332,1256,3,1149.857142857143
43,ROBERT GLEN VASEY,MI,1283,1244,3,1106.5714285714287
44,JUSTIN D SCHILLING,MI,1199,1199,3,1327
45,DEREK YAN,MI,1242,1191,3,1152
46,JACOB ALEXANDER LAVALLEY,MI,377,1076,3,1357.7142857142858
47,ERIC WRIGHT,MI,1362,1341,2.5,1392
48,DANIEL KHAIN,MI,1382,1335,2.5,1355.8
49,MICHAEL J MARTIN,MI,1291,1259,2.5,1285.8
50,SHIVAM JHA,MI,1056,1111,2.5,1296
51,TEJAS AYYAGARI,MI,1011,1097,2.5,1356.142857142857
52,ETHAN GUO,MI,935,1092,2.5,1494.5714285714287
53,JOSE C YBARRA,MI,1393,1359,2,1345.3333333333333
54,LARRY HODGE,MI,1270,1200,2,1206.1666666666667
55,ALEX KONG,MI,1186,1163,2,1406
56,MARISA RICCI,MI,1153,1140,2,1414.4
57,MICHAEL LU,MI,1092,1079,2,1363
58,VIRAJ MOHILE,MI,917,941,2,1391
59,SEAN M MC CORMICK,MI,853,878,2,1319
60,JULIA SHEN,MI,967,984,1.5,1330.2
61,JEZZEL FARKAS,ON,955,979,1.5,1327.2857142857142
62,ASHWIN BALAJI,MI,1530,1535,1,1186
63,THOMAS JOSEPH HOSMER,MI,1175,1125,1,1350.2
64,BEN LI,MI,1163,1112,1,1263
