Rank,Restaurant Name,Neighborhood,Cuisine / Style,Notes
1,Semma,Greenwich Village,Indian,
2,Atomix,NoMad,"Korean, Tasting",
3,Le Bernardin,Midtown,"French, Seafood, Tasting",new
4,Kabawa,East Village,"Caribbean, Tasting Menu",new
5,Ha's Snack Bar,Lower East Side,"French, Vietnamese, Wine Bar",
6,King,South Village,Mediterranean,new
7,Penny,East Village,"Seafood, French",new
8,Sushi Sho,Midtown,Sushi Omakase,
9,Szechuan Mountain House,East Village,Chinese,
10,Tatiana by Kwame Onwuachi,Upper West Side,"American, Caribbean, Creole",
11,188 Bakery Cuchifritos,Fordham Heights,"Puerto Rican, Dominican",new
12,A&A Bake and Doubles,Bedford-Stuyvesant,Trinidadian and Tobagonian,
13,AbuQir Seafood,Astoria,"Egyptian, Seafood",
14,Aska,Williamsburg,"Scandinavian, Tasting",
15,Atoboy,NoMad,Korean,
16,Barbuto,Meatpacking District,"New American, Italian",
17,Barney Greengrass,Upper West Side,"Deli, Appetizing, Breakfast",
18,Birria Landia,Jackson Heights (+3),Mexican,new
19,Borgo,Midtown,Italian,new
20,Bridges,Chinatown,"New American, French",new
21,Bungalow,East Village,Indian,new
22,Cafe Kestrel,Red Hook,"European, New American",new
23,Cafe Mado,Prospect Heights,"New American, French",new
24,Carnitas Ramirez,East Village,Mexican,
25,CASA MONO / BAR JAMON,Union Square,Spanish,new
26,Cervo's,Lower East Side,"Portuguese, Spanish",new
27,Chambers,TriBeCa,American,new
28,Chez Ma Tante,Greenpoint,"American, European",
29,Cho Dang Gol,Midtown,Korean,
30,Chongqing Lao Zao,Flushing,Chinese,
31,Cka Ka Qellu,Belmont (+1),Albanian,
32,Claud,East Village,"New American, French",new
33,Cocina Consuelo,Harlem,Mexican,new
34,Court Street Grocers,Carroll Gardens (+1),Sandwiches,new
35,Crown Shy,Financial District,American,
36,Daniel,Upper East Side,"French, Tasting",new
37,Dera,Jackson Heights,"Pakistani, Indian, Bangladeshi, Nepali",
38,Dhamaka,Lower East Side,Indian,
39,Don Peppe,South Ozone Park,Italian American,
40,Ewe's Delicious Treats,New Lots,"Nigerian, West African",
41,Eyval,Bushwick,Iranian,
42,The Four Horsemen,Williamsburg,New American,new
43,Four Twenty Five,Midtown,New American,
44,Frenchette,TriBeCa,French,
45,Gage & Tollner,Downtown Brooklyn,"Seafood, American",new
46,Golden Diner,Chinatown,"Asian-American, Diner",
47,Gramercy Tavern,Gramercy,New American,
48,Great N.Y. Noodletown,Chinatown,Chinese,
49,The Grill,Midtown East,American,
50,Hainan Chicken House,Sunset Park,Malaysian,
51,Hamburger America,SoHo,"Diner, Sandwich",new
52,Hellbender,Ridgewood,Mexican,new
53,Ho Foods,East Village,Taiwanese,
54,Houseman,Hudson Square,New American,
55,Jean-Georges,Upper West Side,"French, Tasting",
56,Jeju Noodle Bar,West Village,Korean,new
57,Jungsik,TriBeCa,Korean,new
58,Keens Steakhouse,Midtown,Steakhouse,new
59,Kisa,Lower East Side,Korean,
60,Koloman,NoMad,"French, Viennese",
61,Kono,Chinatown,"Japanese, Tasting",new
62,Kopitiam,Chinatown,Malaysian,
63,Laghman Express,Bensonhurst,Uyghur,
64,Lakruwana,Stapleton Heights,Sri Lankan,
65,Le Coucou,SoHo,French,new
66,Le Veau d'Or,Upper East Side,French,new
67,Levant,Astoria,Middle Eastern,new
68,Lilia,Williamsburg,Italian,new
69,Little Myanmar,East Village,Burmese,
70,Lola's,NoMad,"Asian, Southern",new
71,Lucia Pizza of Avenue X,Sheepshead Bay,Pizza,
72,Ma'm,Lower East Side,Vietnamese,
73,Okdongsik,Koreatown,Korean,new
74,Okiboru House of Tsukemen,Lower East Side,Japanese,
75,Old Sport Food,Forest Hills,"Chinese, Halal",new
76,Raf's,NoHo,"French, Italian",
77,Raku,East Village (+2),Japanese,
78,Randazzo's Clam Bar,Sheepshead Bay,"Italian American, Seafood",
79,S & P Lunch,Flatiron,"Diner, Deli, Sandwich",
80,Sailor,Fort Greene,"American, English, Mediterranean",new
81,Salty Lunch Lady's Little Luncheonette,Ridgewood,Sandwiches,
82,Shaw-naé's House,Stapleton Heights,"American, Soul Food",
83,Shukette,Chelsea,Middle Eastern,new
84,Sofreh,Prospect Heights,Middle Eastern,
85,Superiority Burger,East Village,"Diner, Vegetarian",new
86,Sushi Noz,Upper East Side,Sushi Omakase,new
87,Sushi Ouji,Soho,Sushi Omakase,
88,Taiwanese Gourmet,Elmhurst,Taiwanese,
89,Temple Canteen,Flushing,Indian,new
90,Thai Diner,NoLIta,Thai,new
91,Third Falcon,Fort Greene,"French, American",
92,Torrisi,NoLIta,Italian,
93,TRINCITI ROTI SHOP & RESTAURANT,South Ozone Park,Trinidadian and Tobagonian,
94,Txikito,Chelsea,Spanish,
95,Una Pizza Napoletana,Lower East Side,Pizza,
96,Via Carota,West Village,Italian,
97,Village Café,Gravesend,Azerbaijani,new
98,White Bear,Flushing,Chinese,
99,Yoon Haeundae Galbi,Koreatown,Korean,
100,Zaab Zaab,Elmhurst (+2),Thai,
